user_id,product_id,product_category,action,timestamp,session_id,segment,device,referrer,duration_seconds,scroll_depth,price,quantity,coupon_used
user_220,21,book,add_to_cart,2024-01-02 20:17:00,sess_user_220_1,price_sensitive,desktop,email,23,0,160000,2,False
user_220,36,clothes,view,2024-01-02 20:18:53,sess_user_220_1,price_sensitive,desktop,email,69,50,3906000,0,False
user_220,45,electronics,price_check,2024-01-02 20:22:01,sess_user_220_1,price_sensitive,desktop,email,28,0,4944000,0,False
user_220,1,book,click,2024-01-02 20:24:07,sess_user_220_1,price_sensitive,desktop,email,8,0,188000,0,False
user_043,21,book,view,2024-01-04 23:33:00,sess_user_043_1,window_shopper,mobile,social,50,51,140000,0,False
user_043,21,book,search,2024-01-04 23:34:33,sess_user_043_1,window_shopper,mobile,social,10,0,290000,0,False
user_043,52,electronics,view,2024-01-04 23:36:11,sess_user_043_1,window_shopper,mobile,social,86,51,12515000,0,False
user_043,52,electronics,click,2024-01-04 23:38:39,sess_user_043_1,window_shopper,mobile,social,8,0,9631000,0,False
user_048,16,book,price_check,2024-01-05 20:27:00,sess_user_048_1,price_sensitive,mobile,organic_search,29,0,292000,0,False
user_048,28,book,click,2024-01-05 20:28:07,sess_user_048_1,price_sensitive,mobile,organic_search,11,0,331000,0,False
user_048,52,electronics,price_check,2024-01-05 20:29:34,sess_user_048_1,price_sensitive,mobile,organic_search,36,0,9440000,0,False
user_048,26,book,price_check,2024-01-05 20:31:48,sess_user_048_1,price_sensitive,mobile,organic_search,27,0,250000,0,False
user_048,28,book,click,2024-01-05 20:33:17,sess_user_048_1,price_sensitive,mobile,organic_search,8,0,393000,0,False
user_048,16,book,view,2024-01-05 20:34:12,sess_user_048_1,price_sensitive,mobile,organic_search,83,16,332000,0,False
user_159,17,book,price_check,2024-01-11 10:08:00,sess_user_159_1,price_sensitive,tablet,paid_search,12,0,197000,0,False
user_159,43,electronics,remove_from_cart,2024-01-11 10:09:26,sess_user_159_1,price_sensitive,tablet,paid_search,1,0,5558000,0,False
user_159,33,clothes,add_to_cart,2024-01-11 10:10:54,sess_user_159_1,price_sensitive,tablet,paid_search,15,0,1470000,1,False
user_159,35,clothes,review_read,2024-01-11 10:11:27,sess_user_159_1,price_sensitive,tablet,paid_search,76,66,2418000,0,False
user_159,47,electronics,search,2024-01-11 10:14:13,sess_user_159_1,price_sensitive,tablet,paid_search,37,0,17384000,0,False
user_159,15,book,review_read,2024-01-11 10:16:28,sess_user_159_1,price_sensitive,tablet,paid_search,119,73,343000,0,False
user_159,35,clothes,price_check,2024-01-11 10:19:07,sess_user_159_1,price_sensitive,tablet,paid_search,22,0,1733000,0,False
user_159,43,electronics,click,2024-01-11 10:20:40,sess_user_159_1,price_sensitive,tablet,paid_search,9,0,8612000,0,False
user_322,36,clothes,purchase,2024-01-11 10:33:00,sess_user_322_1,loyal_customer,desktop,organic_search,20,0,2744000,1,True
user_322,38,clothes,click,2024-01-11 10:34:12,sess_user_322_1,loyal_customer,desktop,organic_search,9,0,3294000,0,False
user_322,8,book,click,2024-01-11 10:34:53,sess_user_322_1,loyal_customer,desktop,organic_search,13,0,241000,0,False
user_322,8,book,purchase,2024-01-11 10:36:38,sess_user_322_1,loyal_customer,desktop,organic_search,132,0,349000,1,False
user_322,29,clothes,add_to_cart,2024-01-11 10:39:34,sess_user_322_1,loyal_customer,desktop,organic_search,24,0,3077000,1,False
user_176,30,clothes,review_read,2024-01-13 11:56:00,sess_user_176_1,researcher,desktop,organic_search,158,100,2556000,0,False
user_176,36,clothes,review_read,2024-01-13 11:59:30,sess_user_176_1,researcher,desktop,organic_search,228,98,4273000,0,False
user_176,9,book,remove_from_cart,2024-01-13 12:05:09,sess_user_176_1,researcher,desktop,organic_search,11,0,450000,0,False
user_176,50,electronics,view,2024-01-13 12:05:41,sess_user_176_1,researcher,desktop,organic_search,21,87,6820000,0,False
user_248,38,clothes,search,2024-01-16 08:29:00,sess_user_248_1,brand_loyal,desktop,direct,9,0,2531000,0,False
user_248,23,book,click,2024-01-16 08:29:59,sess_user_248_1,brand_loyal,desktop,direct,1,0,371000,0,False
user_248,45,electronics,purchase,2024-01-16 08:31:35,sess_user_248_1,brand_loyal,desktop,direct,121,0,6851000,1,True
